ENSG00000000003	ENSGGOG00000010003
ENSG00000000005	ENSGGOG00000017007
ENSG00000000419	ENSGGOG00000008993
ENSG00000000457	ENSGGOG00000011643
ENSG00000000460	ENSGGOG00000016160
ENSG00000000938	ENSGGOG00000000775
ENSG00000000971	ENSGGOG00000012348
ENSG00000001036	ENSGGOG00000011262
ENSG00000001084	ENSGGOG00000006714
ENSG00000001167	ENSGGOG00000039997
ENSG00000001460	ENSGGOG00000001796
ENSG00000001461	ENSGGOG00000014858
ENSG00000001497	ENSGGOG00000008739
ENSG00000001561	ENSGGOG00000007462
ENSG00000001617	ENSGGOG00000008650
ENSG00000001626	ENSGGOG00000004019
ENSG00000001629	ENSGGOG00000006851
ENSG00000001630	ENSGGOG00000011496
ENSG00000001631	ENSGGOG00000001906
ENSG00000002016	ENSGGOG00000006474
ENSG00000002330	ENSGGOG00000012256
ENSG00000002549	ENSGGOG00000001110
ENSG00000002586	ENSGGOG00000010530
ENSG00000002587	ENSGGOG00000015625
ENSG00000002726	ENSGGOG00000002416
ENSG00000002745	ENSGGOG00000016506
ENSG00000002746	ENSGGOG00000024448
ENSG00000002822	ENSGGOG00000034992
ENSG00000002834	ENSGGOG00000003369
ENSG00000002933	ENSGGOG00000016497
ENSG00000003056	ENSGGOG00000010747
ENSG00000003096	ENSGGOG00000025384
ENSG00000003137	ENSGGOG00000004577
ENSG00000003147	ENSGGOG00000007090
ENSG00000003249	ENSGGOG00000001161
ENSG00000003393	ENSGGOG00000015032
ENSG00000003400	ENSGGOG00000012288
ENSG00000003402	ENSGGOG00000010972
ENSG00000003436	ENSGGOG00000022168
ENSG00000003509	ENSGGOG00000011359
ENSG00000003756	ENSGGOG00000014490
ENSG00000003987	ENSGGOG00000010545
ENSG00000003989	ENSGGOG00000014449
ENSG00000004059	ENSGGOG00000016749
ENSG00000004139	ENSGGOG00000011110
ENSG00000004142	ENSGGOG00000042668
ENSG00000004399	ENSGGOG00000000736
ENSG00000004455	ENSGGOG00000000069
ENSG00000004468	ENSGGOG00000006165
ENSG00000004478	ENSGGOG00000010471
ENSG00000004487	ENSGGOG00000003664
ENSG00000004534	ENSGGOG00000014459
ENSG00000004660	ENSGGOG00000003068
ENSG00000004700	ENSGGOG00000010985
ENSG00000004766	ENSGGOG00000022699
ENSG00000004776	ENSGGOG00000016841
ENSG00000004777	ENSGGOG00000016856
ENSG00000004779	ENSGGOG00000006320
ENSG00000004799	ENSGGOG00000002467
ENSG00000004809	ENSGGOG00000001770
ENSG00000004838	ENSGGOG00000007113
ENSG00000004846	ENSGGOG00000008618
ENSG00000004848	ENSGGOG00000023361
ENSG00000004864	ENSGGOG00000005803
ENSG00000004866	ENSGGOG00000014410
ENSG00000004897	ENSGGOG00000014729
ENSG00000004939	ENSGGOG00000010736
ENSG00000004948	ENSGGOG00000011549
ENSG00000004961	ENSGGOG00000007328
ENSG00000004975	ENSGGOG00000006765
ENSG00000005001	ENSGGOG00000036663
ENSG00000005007	ENSGGOG00000002608
ENSG00000005020	ENSGGOG00000002146
ENSG00000005022	ENSGGOG00000014279
ENSG00000005059	ENSGGOG00000041678
ENSG00000005073	ENSGGOG00000002226
ENSG00000005100	ENSGGOG00000002748
ENSG00000005102	ENSGGOG00000003046
ENSG00000005108	ENSGGOG00000008011
ENSG00000005156	ENSGGOG00000025637
ENSG00000005175	ENSGGOG00000024558
ENSG00000005187	ENSGGOG00000008138
ENSG00000005189	ENSGGOG00000004539
ENSG00000005194	ENSGGOG00000012402
ENSG00000005206	ENSGGOG00000010177
ENSG00000005238	ENSGGOG00000003218
ENSG00000005243	ENSGGOG00000002264
ENSG00000005249	ENSGGOG00000003923
ENSG00000005302	ENSGGOG00000006582
ENSG00000005339	ENSGGOG00000006025
ENSG00000005379	ENSGGOG00000016714
ENSG00000005381	ENSGGOG00000016705
ENSG00000005421	ENSGGOG00000004746
ENSG00000005436	ENSGGOG00000025320
ENSG00000005448	ENSGGOG00000014586
ENSG00000005469	ENSGGOG00000015962
ENSG00000005471	ENSGGOG00000039612
ENSG00000005483	ENSGGOG00000000579
ENSG00000005486	ENSGGOG00000016935
ENSG00000005513	ENSGGOG00000006906
ENSG00000005700	ENSGGOG00000016682
ENSG00000005801	ENSGGOG00000042313
ENSG00000005812	ENSGGOG00000007005
ENSG00000005844	ENSGGOG00000002189
ENSG00000005882	ENSGGOG00000015583
ENSG00000005884	ENSGGOG00000013558
ENSG00000005889	ENSGGOG00000004053
ENSG00000005893	ENSGGOG00000000555
ENSG00000005961	ENSGGOG00000012852
ENSG00000005981	ENSGGOG00000006509
ENSG00000006007	ENSGGOG00000002481
ENSG00000006015	ENSGGOG00000026716
ENSG00000006016	ENSGGOG00000010973
ENSG00000006025	ENSGGOG00000015344
ENSG00000006042	ENSGGOG00000013333
ENSG00000006047	ENSGGOG00000007399
ENSG00000006062	ENSGGOG00000004540
ENSG00000006071	ENSGGOG00000015972
ENSG00000006116	ENSGGOG00000002778
ENSG00000006118	ENSGGOG00000008661
ENSG00000006125	ENSGGOG00000015593
ENSG00000006128	ENSGGOG00000014091
ENSG00000006194	ENSGGOG00000010468
ENSG00000006210	ENSGGOG00000000578
ENSG00000006282	ENSGGOG00000003379
ENSG00000006283	ENSGGOG00000003386
ENSG00000006377	ENSGGOG00000004398
ENSG00000006432	ENSGGOG00000010418
ENSG00000006453	ENSGGOG00000022920
ENSG00000006459	ENSGGOG00000003842
ENSG00000006468	ENSGGOG00000005918
ENSG00000006530	ENSGGOG00000008821
ENSG00000006534	ENSGGOG00000004995
ENSG00000006555	ENSGGOG00000005432
ENSG00000006576	ENSGGOG00000007313
ENSG00000006607	ENSGGOG00000004259
ENSG00000006611	ENSGGOG00000016001
ENSG00000006625	ENSGGOG00000024930
ENSG00000006634	ENSGGOG00000015538
ENSG00000006638	ENSGGOG00000013761
ENSG00000006652	ENSGGOG00000000718
ENSG00000006659	ENSGGOG00000004974
ENSG00000006695	ENSGGOG00000012308
ENSG00000006704	ENSGGOG00000000419
ENSG00000006712	ENSGGOG00000001843
ENSG00000006715	ENSGGOG00000006665
ENSG00000006740	ENSGGOG00000015831
ENSG00000006744	ENSGGOG00000015850
ENSG00000006747	ENSGGOG00000015597
ENSG00000006756	ENSGGOG00000027647
ENSG00000006757	ENSGGOG00000005430
ENSG00000006788	ENSGGOG00000013609
ENSG00000006831	ENSGGOG00000013929
ENSG00000006837	ENSGGOG00000002228
ENSG00000007001	ENSGGOG00000003425
ENSG00000007038	ENSGGOG00000007663
ENSG00000007047	ENSGGOG00000008801
ENSG00000007062	ENSGGOG00000016139
ENSG00000007080	ENSGGOG00000004373
ENSG00000007129	ENSGGOG00000039581
ENSG00000007168	ENSGGOG00000005305
ENSG00000007171	ENSGGOG00000000820
