file,species,transcript,good_length,num_early_stops,num_amb_chars,length
ENSG00000000419,human,ENST00000371588.10,TRUE,0,0,783
ENSG00000000419,gorilla,ENSGGOT00000049093.1,TRUE,0,0,948
ENSG00000000457,human,ENST00000367771.11,TRUE,0,0,2067
ENSG00000000457,gorilla,ENSGGOT00000011692.3,TRUE,0,0,2229
ENSG00000000460,human,ENST00000359326.9,TRUE,0,0,2562
ENSG00000000460,gorilla,ENSGGOT00000034721.2,TRUE,0,0,2562
ENSG00000000938,human,ENST00000374005.8,TRUE,0,0,1590
ENSG00000000938,gorilla,ENSGGOT00000000779.3,TRUE,0,0,1590
ENSG00000001084,human,ENST00000650454.1,TRUE,0,0,1914
ENSG00000001084,gorilla,ENSGGOT00000006751.3,TRUE,0,0,1914
ENSG00000001167,human,ENST00000341376.11,TRUE,0,0,1044
ENSG00000001167,gorilla,ENSGGOT00000059198.1,TRUE,0,0,1044
ENSG00000001460,human,ENST00000337248.9,TRUE,0,0,1005
ENSG00000001460,gorilla,ENSGGOT00000033178.2,TRUE,0,0,1005
ENSG00000001461,human,ENST00000374399.9,TRUE,0,0,1221
ENSG00000001461,gorilla,ENSGGOT00000014912.3,TRUE,0,0,1107
ENSG00000001561,human,ENST00000321037.5,TRUE,0,0,1362
ENSG00000001561,gorilla,ENSGGOT00000007498.3,TRUE,0,0,1362
ENSG00000001617,human,ENST00000002829.8,TRUE,0,0,2358
ENSG00000001617,gorilla,ENSGGOT00000052676.1,TRUE,0,0,2358
ENSG00000001630,human,ENST00000003100.13,TRUE,0,0,1530
ENSG00000001630,gorilla,ENSGGOT00000011541.3,TRUE,0,0,1530
ENSG00000001631,human,ENST00000394505.7,TRUE,0,0,2211
ENSG00000001631,gorilla,ENSGGOT00000001921.3,TRUE,0,0,2211
ENSG00000002016,human,ENST00000358495.8,TRUE,0,0,1257
ENSG00000002016,gorilla,ENSGGOT00000006503.3,TRUE,0,0,1257
ENSG00000002330,human,ENST00000309032.8,TRUE,0,0,507
